Date,Country,Infections,Recovered,Deaths,Tests
22-Jan,China,548,28,17,0
23-Jan,China,643,30,18,0
24-Jan,China,920,35,26,0
25-Jan,China,1406,38,42,0
26-Jan,China,2075,48,56,0
27-Jan,China,2877,57,82,0
28-Jan,China,5509,98,131,0
29-Jan,China,6087,117,133,0
30-Jan,China,8141,131,171,0
31-Jan,China,9802,199,213,0
1-Feb,China,11891,252,259,0
2-Feb,China,16630,427,361,0
3-Feb,China,19716,565,425,0
4-Feb,China,23707,774,491,0
5-Feb,China,27440,1030,563,0
6-Feb,China,30587,1374,633,0
7-Feb,China,34110,1862,718,0
8-Feb,China,36814,2400,805,0
9-Feb,China,39829,2996,905,0
10-Feb,China,42354,3649,1012,0
11-Feb,China,44386,4333,1112,0
12-Feb,China,44759,4721,1117,0
13-Feb,China,59895,5803,1369,0
14-Feb,China,66358,7501,1521,0
15-Feb,China,68413,8781,1663,0
16-Feb,China,70513,10200,1766,0
17-Feb,China,72434,11850,1864,0
18-Feb,China,74211,13554,2003,0
19-Feb,China,74619,15224,2116,0
20-Feb,China,75077,17221,2238,0
21-Feb,China,75550,17845,2238,0
22-Feb,China,77001,21785,2443,0
23-Feb,China,77022,22205,2445,0
24-Feb,China,77241,23994,2595,0
25-Feb,China,77754,26620,2665,0
26-Feb,China,78166,28945,2717,0
27-Feb,China,78600,31708,2746,0
28-Feb,China,78928,35049,2790,0
29-Feb,China,79356,37981,2837,0
1-Mar,China,79932,40783,2872,0
2-Mar,China,80136,43445,2914,0
3-Mar,China,80261,46001,2947,0
4-Mar,China,80386,48530,2983,0
5-Mar,China,80537,50806,3015,0
6-Mar,China,80690,52433,3044,0
7-Mar,China,80770,54022,3072,0
8-Mar,China,80823,55863,3100,0
9-Mar,China,80860,57262,3123,0
10-Mar,China,80887,58623,3139,0
11-Mar,China,80921,60082,3161,0
12-Mar,China,80932,61336,3172,0
13-Mar,China,80945,62631,3180,0
14-Mar,China,80977,64079,3193,0
15-Mar,China,81003,65435,3203,0
16-Mar,China,81033,66324,3217,0
17-Mar,China,81058,67212,3230,0
18-Mar,China,81102,68169,3241,0
19-Mar,China,81156,68948,3249,0
20-Mar,China,81250,69683,3253,0
21-Mar,China,81305,70275,3259,0
22-Mar,China,81435,70782,3274,0
23-Mar,China,81498,71232,3274,0
24-Mar,China,81591,71807,3281,0
25-Mar,China,81661,72380,3285,0
26-Mar,China,81782,72788,3291,0
27-Mar,China,81897,73420,3296,0
28-Mar,China,81999,74025,3299,0
29-Mar,China,82122,74524,3304,0
30-Mar,China,82198,74946,3308,0
31-Mar,China,82279,76352,3309,0
1-Apr,China,82361,76366,3316,0
2-Apr,China,82432,77036,3322,0
3-Apr,China,82511,77765,3326,0
4-Apr,China,82543,78449,3330,0
5-Apr,China,82602,79234,3333,0
6-Apr,China,82665,79691,3335,0
7-Apr,China,82718,80516,3335,0
8-Apr,China,82809,81267,3337,0
9-Apr,China,82883,82543,3339,0
10-Apr,China,82941,83677,3340,0
11-Apr,China,83014,84785,3343,0
12-Apr,China,83134,85591,3343,0
13-Apr,China,83213,86616,3345,0
22-Jan,Italy,0,0,0,0
23-Jan,Italy,0,0,0,0
24-Jan,Italy,0,0,0,0
25-Jan,Italy,0,0,0,0
26-Jan,Italy,0,0,0,0
27-Jan,Italy,0,0,0,0
28-Jan,Italy,0,0,0,0
29-Jan,Italy,0,0,0,0
30-Jan,Italy,0,0,0,0
31-Jan,Italy,2,0,0,0
1-Feb,Italy,2,0,0,0
2-Feb,Italy,2,0,0,0
3-Feb,Italy,2,0,0,0
4-Feb,Italy,2,0,0,0
5-Feb,Italy,2,0,0,0
6-Feb,Italy,2,0,0,0
7-Feb,Italy,3,0,0,0
8-Feb,Italy,3,0,0,0
9-Feb,Italy,3,0,0,0
