Date,Conditions,China,Italy,Iran,South Korea,France,Spain,Germany,United States,Total
22-Jan,Infections,548,0,0,1,0,0,0,1,555
22-Jan,Recovered,0,0,0,0,0,0,0,0,28
22-Jan,Deaths,17,0,0,0,0,0,0,0,17
23-Jan,Infections,643,0,0,1,0,0,0,1,653
23-Jan,Recovered,2,0,0,0,0,0,0,0,30
23-Jan,Deaths,18,0,0,0,0,0,0,0,18
24-Jan,Infections,920,0,0,2,2,0,0,2,941
24-Jan,Recovered,5,0,0,0,0,0,0,0,36
24-Jan,Deaths,26,0,0,0,0,0,0,0,26
25-Jan,Infections,1406,0,0,2,3,0,0,2,1434
25-Jan,Recovered,7,0,0,0,0,0,0,0,39
25-Jan,Deaths,42,0,0,0,0,0,0,0,42
26-Jan,Infections,2075,0,0,3,3,0,0,5,2118
26-Jan,Recovered,7,0,0,0,0,0,0,0,52
26-Jan,Deaths,56,0,0,0,0,0,0,0,56
27-Jan,Infections,2877,0,0,4,3,0,1,5,2927
27-Jan,Recovered,13,0,0,0,0,0,0,0,61
27-Jan,Deaths,82,0,0,0,0,0,0,0,82
28-Jan,Infections,5509,0,0,4,4,0,4,5,5578
28-Jan,Recovered,21,0,0,0,0,0,0,0,107
28-Jan,Deaths,131,0,0,0,0,0,0,0,131
29-Jan,Infections,6087,0,0,4,5,0,4,5,6166
29-Jan,Recovered,32,0,0,0,0,0,0,0,126
29-Jan,Deaths,133,0,0,0,0,0,0,0,133
30-Jan,Infections,8141,0,0,4,5,0,4,5,8234
30-Jan,Recovered,45,0,0,0,0,0,0,0,143
30-Jan,Deaths,171,0,0,0,0,0,0,0,171
31-Jan,Infections,9802,2,0,11,5,0,5,7,9927
31-Jan,Recovered,73,0,0,0,0,0,0,0,222
31-Jan,Deaths,213,0,0,0,0,0,0,0,213
1-Feb,Infections,11891,2,0,12,6,1,8,8,12038
1-Feb,Recovered,107,0,0,0,0,0,0,0,284
1-Feb,Deaths,259,0,0,0,0,0,0,0,259
